#,Target,Mode,IP,"URL Rating","Domain Rating","Ahrefs Rank",Domains,"Ref domains Dofollow","Ref domains Governmental","Ref domains Educational","Ref IPs","Ref SubNets","Linked Domains","Total Backlinks","Backlinks Text","Backlinks NoFollow","Backlinks Redirect","Backlinks Image","Backlinks Frame","Backlinks Form","Backlinks Governmental","Backlinks Educational","Total Keywords","Total Traffic"
81,ScientificEra.com,subdomains,,,8,26831849,105,60,0,1,100,88,67,384,384,155,0,37,0,0,0,1,168,16
82,CreamStop.com,subdomains,,,0.4,92948342,58,20,0,0,58,55,1,216,216,191,0,1,0,0,0,0,0,0
83,Airplay.com,subdomains,13.248.169.48,,10,22363913,90,68,0,0,88,79,0,202,201,23,1,7,0,0,0,0,1,7
84,CoinNoob.com,subdomains,13.248.169.48,,10,22365571,723,684,0,0,117,108,1,1391,1391,159,0,937,0,0,0,0,0,0
85,CryptosOnline.com,subdomains,35.215.68.182,,0.8,75979319,165,123,0,0,91,75,10607,32758,32758,127,0,203,0,0,0,0,0,0
86,Heroes.net,subdomains,13.248.169.48,,14,16629462,137,94,1,6,144,127,0,1119,1119,347,0,10,0,0,2,24,1,6
87,whitewhalegames.com,subdomains,,,15,14433592,135,92,0,0,135,119,0,705,704,164,1,1,0,0,0,0,0,0
88,TheLoveMoney.com,subdomains,,,0.9,73629324,63,4,0,0,62,39,1,446,446,216,0,8,0,0,0,0,0,0
89,premvo.com,subdomains,,,0,145743665,12,6,0,1,13,13,0,31,31,24,0,0,0,0,0,2,0,0
90,Market-Apple.com,subdomains,,,0,158541569,9,4,0,0,10,10,0,257,257,77,0,0,0,0,0,0,0,0
91,WinterAndTheMoon.com,subdomains,,,0,164722061,8,1,0,0,12,9,0,50,50,45,0,0,0,0,0,0,0,0
92,ConTar.es,subdomains,,,0.3,94240399,9,4,0,0,11,11,0,86,86,8,0,59,0,0,0,0,0,0
93,OnlineGuide.com,subdomains,3.64.163.50,,2.4,53097280,49,36,0,1,52,49,13,510,485,43,20,0,5,0,0,1,0,0
94,ChannelToChannel.com,subdomains,198.49.23.145,,23,8729659,93,77,0,2,83,73,24,540,506,37,0,24,0,0,0,6,0,0
95,BestConstructionPractices.com,subdomains,85.187.128.60,,37,2292511,277,239,0,4,193,179,363,1255,1113,200,141,184,0,0,0,10,85,5
96,RentAwedDingDress.com,subdomains,,,1.3,67003250,22,18,0,1,31,28,0,234,234,16,0,10,0,0,0,1,0,0
97,MyInternetDiploma.com,subdomains,34.90.16.92,,2.4,53201371,142,128,0,0,65,50,0,11961,11961,102,0,11242,0,0,0,0,0,0
98,TruckBoard.com,subdomains,188.114.96.2,,0.8,75955962,44,37,0,0,36,35,11,83,83,11,0,0,0,0,0,0,190,139
99,DrivewayTips.com,subdomains,66.96.146.57,,17,12434502,115,67,0,0,122,111,35,375,375,144,0,28,0,0,0,0,149,43
100,MoabUtah.com,subdomains,,,7,28678410,76,64,0,0,83,78,5,232,232,58,0,2,0,0,0,0,0,0
101,pearlsu.com,subdomains,,,0,154586840,15,9,0,0,16,16,0,45,45,7,0,1,0,0,0,0,0,0
102,oyeball.com,subdomains,188.114.96.2,,25,7704296,178,140,0,1,167,150,37,4937,4936,94,1,93,0,0,0,1,351,58
103,Egypt.net,subdomains,,,2.6,51800539,75,62,0,1,89,77,0,657,656,30,0,16,1,0,0,1,0,0
104,ZeroLife.com,subdomains,,,0,123040801,29,28,0,0,52,40,0,721,721,3,0,246,0,0,0,0,0,0
105,CoolFireworks.com,subdomains,13.248.169.48,,0.6,85618870,29,21,1,0,30,29,0,54,54,12,0,0,0,0,1,0,0,0
106,WorkGo.net,subdomains,15.197.148.33,,0,128012182,24,21,0,0,26,20,0,46,46,5,0,0,0,0,0,0,1,0
107,BusinessProShop.com,subdomains,15.197.148.33,,0.6,85568601,27,7,0,0,31,30,24,215,215,199,0,11,0,0,0,0,0,0
108,PinkStraps.com,subdomains,149.100.153.143,,2.1,56766408,61,42,0,0,53,51,6,287,287,86,0,16,0,0,0,0,20,22
109,Sweetgrass.com,subdomains,198.71.233.183,,12,19023286,97,68,0,0,107,93,19,362,362,79,0,89,0,0,0,0,148,93
110,MarketValley.com,subdomains,15.197.148.33,,1.4,65514169,47,26,0,0,61,54,1,280,280,158,0,12,0,0,0,0,1,0
111,UniqueImage.com,subdomains,3.33.130.190,,0.9,74536908,233,189,0,0,216,194,13,894,788,97,106,286,0,0,0,0,111,18
112,bes.net,subdomains,13.248.169.48,,0,176728025,2,1,0,0,2,2,2,9,9,5,0,0,0,0,0,0,0,0
113,FarmDogs.com,subdomains,34.226.105.125,,2.1,55856978,120,56,0,1,108,101,1,201,201,99,0,3,0,0,0,1,0,0
114,uppp.com,subdomains,13.248.169.48,,0,119598152,20,18,0,0,32,26,0,245,245,90,0,124,0,0,0,0,0,0
115,Audiophile.com.au,subdomains,,,2.3,54145692,45,27,0,0,53,49,0,308,308,168,0,1,0,0,0,0,0,0
116,Discounts.ca,subdomains,,,2.3,54314089,208,72,0,1,106,81,1,487,487,273,0,9,0,0,0,1,0,0
